etabar,rate
-3.0290506871,0.013006711977070453
-2.9799977823,0.013141008224336417
-2.9309784465,0.013278082087421825
-2.8819939352,0.013418014431361276
-2.8330455562,0.01356089052514748
-2.7841346722,0.013706800469560193
-2.7352627058,0.013855839690573524
-2.6864311429,0.01400810948276351
-2.6376415379,0.014163717606292706
-2.5888955187,0.014322778951112641
-2.5401947934,0.014485416279679761
-2.4915411563,0.014651761076382077
-2.4429364959,0.014821954447306369
-2.3943828031,0.01499614819006007
-2.345882181,0.015174505913654776
-2.2974368555,0.015357204368015924
-2.2490491872,0.015544434863887787
-2.2007216851,0.015736404940403154
-2.1524570219,0.01593334016304999
-2.1042580511,0.016135486228732558
-2.0561278268,0.01634311127668433
-2.0080696253,0.01655650854282729
-1.9600869704,0.016775999382023135
-1.9121836618,0.01700193667000841
-1.8643638074,0.017234708748387742
-1.8166318599,0.017474743880700538
-1.7689926596,0.017722515442600065
-1.7214514821,0.017978547869773535
-1.6740140945,0.018243423568902684
-1.6266868194,0.018517790968049567
-1.5794766094,0.018802373923470946
-1.5323911337,0.019097982758119154
-1.4854388792,0.019405527308588282
-1.4386292686,0.01972603238588101
-1.3919728004,0.020060656230637557
-1.3454812134,0.02041071265238499
-1.2991676837,0.020777697728020374
-1.2530470589,0.021163322270560603
-1.207136141,0.021569551513805407
-1.1614540286,0.021998654030413976
-1.1160225335,0.02245326246593616
-1.0708666926,0.02293644959301677
-1.0260154016,0.023451824434589284
-0.98150220458,0.024003654893853497
-0.93736628912,0.024597025880325262
-0.89365375137,0.025238045530012694
-0.85041922269,0.025934117497352745
-0.80772798643,0.02669430534924276
-0.76565877011,0.027529827417120525
-0.72430748467,0.028454739707515792
-0.68379231814,0.029486894932758287
-0.64742279691,0.030549625748378537
-0.61520077978,0.03163045705453637
-0.58671898309,0.03272702149623873
-0.56160418209,0.03383645528558087
-0.53951445992,0.03495542650627932
-0.52013674838,0.036080177774353114
-0.50152712661,0.037325305818010836
-0.4853725646,0.03857965399357584
-0.4714073784,0.03983813333838914
-0.459388018,0.04109522960532407
-0.44909146037,0.042345115170869634
-0.4403138018,0.04358178571872664
-0.4328690411,0.044799217048745885
-0.42598697679,0.04611559959439245
-0.42026705867,0.04740722480459489
-0.41555101507,0.04866741291289507
-0.41133404618,0.050016546865854675
-0.40796589841,0.05132598584596274
-0.40507085612,0.05271969902524167
-0.40287316835,0.054063815893648746
-0.4,0.056706112939612356
-0.39864958388,0.05961570418650242
-0.39854624454,0.06073826233889438
-0.39878316582,0.06250895487355564
-0.39958514355,0.06455043299349272
-0.40000002686,0.06529255559929645
-0.40154097002,0.06746203154652852
-0.40382785143,0.06995205554933606
-0.40668702422,0.07254416619072183
-0.41006186038,0.0752315620510236
-0.41389141333,0.07800773171484422
-0.41811348421,0.08086689218622757
-0.4226670368,0.08380427010841428
-0.42798954421,0.08712151031954496
-0.43414033935,0.0908710591171326
-0.44116302993,0.09511507297036331
-0.44835255655,0.09948456631412185
-0.45634050639,0.10443972030457185
-0.46508953495,0.11007882539778155
-0.47450066177,0.11652560043697718
-0.48437797893,0.12393820656049251
-0.49350789882,0.131720884460342
-0.5016107449,0.13991095005152127
-0.5083711398,0.14854407982637335
-0.51342992538,0.1576470811361327
-0.5163877858,0.16722629679685738
-0.51698741037,0.17386952551493326
-0.51554218724,0.1841503586919679
-0.51103534885,0.19470696610774743
-0.50336345812,0.2053675047720536
-0.49265405092,0.2159421393325979
-0.47922946091,0.22626448474013966
-0.46351383722,0.2362192651705672
-0.44593983562,0.2457463849007533
-0.42689117721,0.25482910642412493
-0.40668216178,0.26347825663872515
-0.39999998783,0.2661631770597037
-0.37862693708,0.2742798944168268
-0.35434421647,0.2827868126222582
-0.32942160367,0.29089368760007506
-0.3014227943,0.29939714989291
-0.27006642028,0.3083049703627129
-0.23504527606,0.3176273615395064
-0.19602261775,0.32737703766589255
-0.15262833148,0.33756920406254903
-0.10497620629,0.34810953898551156
-0.056972684751,0.35815121189446075
-0.0086917607877,0.36775666886963654
0.039812059282,0.37697696213673904
0.088497744156,0.3858543191458077
0.099398623231,0.3877948788386541
0.14826473455,0.39630011846392643
0.1972519295,0.40453359608208417
0.24634171099,0.41251988332975564
0.29551919484,0.4202801458768386
0.3447722648,0.4278327541614402
0.39409095446,0.4351937633956688
0.44346698825,0.4423772946032102
0.49289343546,0.4493958401980222
0.54236444619,0.45626051112063376
0.59187504741,0.46298123851667344
0.64142098367,0.4695669396319329
0.6909985914,0.4760256552120702
0.74060469897,0.48236466415812895
0.79023654629,0.4885905798299333
0.83989171984,0.49470943137375256
0.88956809965,0.5007267328622522
0.93926381572,0.5066475423104626
0.98897721213,0.5124765123946403
1.0387068171,0.5182179341729679
