g0,L2norm
0.05,5.7062263727
0.050370182162,5.7056365876
0.050647703366,5.7051962872
0.051063799536,5.7045391146
0.0516875257,5.7035607367
0.0526106409,5.7021275877
0.053532651134,5.7007139286
0.054453554119,5.6993197899
0.055373347599,5.6979452017
0.056292029351,5.6965901935
0.057209597181,5.6952547943
0.058126048928,5.6939390327
0.059041382458,5.6926429369
0.059955595671,5.6913665345
0.060868686496,5.6901098527
0.061780652893,5.6888729182
0.062691492853,5.6876557572
0.063601204395,5.6864583954
0.064509785572,5.6852808582
0.065417234464,5.6841231704
0.066323549184,5.6829853563
0.067228727873,5.6818674397
0.068132768705,5.6807694442
0.069035669881,5.6796913925
0.069937429634,5.6786333071
0.070838046227,5.67759521
0.071737517951,5.6765771228
0.07263584313,5.6755790665
0.073533020116,5.6746010616
0.07442904729,5.6736431282
0.075323923064,5.6727052859
0.07621764588,5.6717875541
0.077110214207,5.6708899512
0.078001626546,5.6700124956
0.078891881426,5.669155205
0.079780977405,5.6683180967
0.080668913071,5.6675011875
0.081555687042,5.6667044939
0.082441297961,5.6659280317
0.083325744504,5.6651718164
0.084209025374,5.6644358629
0.085091139303,5.6637201858
0.08597208505,5.6630247991
0.086851861404,5.6623497165
0.087730467182,5.6616949511
0.088607901228,5.6610605155
0.089484162417,5.6604464221
0.090359249648,5.6598526826
0.091233161851,5.6592793084
0.092105897982,5.6587263103
0.092977457025,5.6581936987
0.09384783799,5.6576814837
0.094717039917,5.6571896748
0.095585061872,5.6567182811
0.096451902946,5.6562673111
0.097317562261,5.6558367732
0.098182038961,5.6554266751
0.099045332221,5.6550370242
0.099907441239,5.6546678272
0.10076836524,5.6543190906
0.10162810348,5.6539908205
0.10248665523,5.6536830225
0.1033440198,5.6533957016
0.10420019652,5.6531288626
0.10505518474,5.6528825097
0.10590898385,5.652656647
0.10676159324,5.6524512776
0.10761301235,5.6522664048
0.10846324064,5.652102031
0.10931227759,5.6519581585
0.11016012269,5.6518347889
0.11100677549,5.6517319236
0.11185223554,5.6516495636
0.11269650241,5.6515877092
0.11353957571,5.6515463607
0.11438145506,5.6515255177
0.11522214011,5.6515251795
0.11606163054,5.6515453449
0.11689992604,5.6515860124
0.11773702634,5.6516471801
0.11857293117,5.6517288457
0.11940764031,5.6518310064
0.12024115353,5.651953659
0.12107347066,5.6520968001
0.12190459152,5.6522604258
0.12273451598,5.6524445317
0.1235632439,5.6526491132
0.12439077518,5.6528741652
0.12521710976,5.6531196822
0.12604224757,5.6533856584
0.12686618857,5.6536720877
0.12768893274,5.6539789633
0.12851048011,5.6543062783
0.12933083068,5.6546540255
0.13014998452,5.655022197
0.13096794168,5.6554107849
0.13178470225,5.6558197806
0.13260026635,5.6562491755
0.13341463409,5.6566989602
0.13422780563,5.6571691253
0.13503978113,5.657659661
0.13585056079,5.6581705569
0.1366601448,5.6587018025
0.13746853338,5.6592533869
0.1382757268,5.6598252988
0.13908172529,5.6604175266
0.13988652915,5.6610300583
0.14069013868,5.6616628816
0.14149255418,5.6623159838
0.142293776,5.662989352
0.14309380448,5.6636829728
0.14389264001,5.6643968327
0.14469028295,5.6651309176
0.14548673373,5.6658852133
0.14628199275,5.6666597051
0.14707606046,5.667454378
0.14786893732,5.668269217
0.14866062379,5.6691042062
0.14945112036,5.6699593299
0.15024042754,5.6708345719
0.15102854584,5.6717299156
0.15181547581,5.6726453443
0.15260121798,5.6735808407
0.15338577294,5.6745363876
0.15416914126,5.6755119671
0.15495132353,5.6765075612
0.15573232038,5.6775231516
0.15651213242,5.6785587198
0.15729076029,5.6796142468
0.15806820466,5.6806897134
0.15884446619,5.6817851001
0.15961954557,5.6829003872
0.16039344348,5.6840355547
0.16116616065,5.6851905823
0.1619376978,5.6863654493
0.16270805567,5.6875601349
0.163477235,5.688774618
0.16424523656,5.6900088771
0.16501206114,5.6912628907
0.1657777095,5.6925366367
0.16654218247,5.693830093
0.16730548085,5.6951432371
0.16806760547,5.6964760463
0.16882855717,5.6978284977
0.1695883368,5.6992005681
0.17034694521,5.7005922339
0.17110438329,5.7020034715
0.17186065192,5.7034342569
0.17261575199,5.704884566
0.17336968441,5.7063543742
0.1741224501,5.7078436569
0.17487404998,5.7093523892
0.175624485,5.710880546
0.1763737561,5.7124281018
0.17712186424,5.7139950312
0.17786881039,5.7155813082
0.17861459553,5.7171869067
0.17935922065,5.7188118006
0.18010268675,5.7204559634
0.18084499483,5.7221193682
0.18158614591,5.7238019882
0.18232614102,5.7255037963
0.18306498119,5.7272247651
0.18380266746,5.728964867
0.18453920089,5.7307240743
0.18527458254,5.732502359
0.18600881347,5.734299693
0.18674189476,5.7361160479
0.18747382751,5.737951395
0.18820461279,5.7398057057
0.18893425171,5.7416789511
0.18966274538,5.7435711018
0.19039009492,5.7454821288
0.19111630144,5.7474120023
0.19184136608,5.7493606927
0.19256528998,5.7513281701
0.19328807427,5.7533144045
0.1940097201,5.7553193656
0.19473022864,5.757343023
0.19544960105,5.7593853461
0.19616783849,5.7614463042
0.19688494215,5.7635258662
0.1976009132,5.7656240011
0.19831575283,5.7677406777
0.19902946223,5.7698758644
0.1997420426,5.7720295298
0.20045349515,5.774201642
0.20116382109,5.7763921691
0.20187302163,5.7786010792
0.20258109798,5.7808283398
0.20328805138,5.7830739187
0.20399388306,5.7853377834
0.20469859424,5.7876199011
0.20540218616,5.7899202391
0.20610466007,5.7922387644
0.20680601722,5.7945754438
0.20750625885,5.7969302442
0.20820538622,5.7993031321
0.20890340059,5.8016940741
0.20960030322,5.8041030364
0.21029609538,5.8065299852
0.21099077834,5.8089748867
0.21168435337,5.8114377068
0.21237682174,5.8139184112
0.21306818474,5.8164169657
0.21375844364,5.8189333359
0.21444759974,5.8214674871
0.21513565432,5.8240193847
0.21582260867,5.8265889938
0.21650846409,5.8291762796
0.21719322186,5.8317812071
0.2178768833,5.8344037409
0.21855944968,5.837043846
0.21924092233,5.8397014868
0.21992130254,5.8423766279
0.22060059162,5.8450692338
0.22127879088,5.8477792685
0.22195590161,5.8505066965
0.22263192515,5.8532514816
0.22330686279,5.856013588
0.22398071585,5.8587929794
0.22465348564,5.8615896197
0.22532517348,5.8644034724
0.22599578068,5.8672345012
0.22666530857,5.8700826695
0.22733375845,5.8729479407
0.22800113166,5.8758302781
0.22866742949,5.8787296448
0.22933265328,5.8816460041
0.22999680435,5.8845793188
0.23065988401,5.8875295518
0.23132189358,5.8904966661
0.23198283438,5.8934806243
0.23264270773,5.8964813891
0.23330151495,5.8994989231
0.23395925736,5.9025331887
0.23461593628,5.9055841483
0.23527155302,5.9086517644
0.23592610891,5.911735999
0.23657960525,5.9148368143
0.23723204336,5.9179541725
0.23788342456,5.9210880356
0.23853375016,5.9242383654
0.23918302148,5.9274051238
0.23983123981,5.9305882726
0.24047840648,5.9337877735
0.2411245228,5.9370035881
