# two-pop E-I exploratory spike. validation max|rate_single-rate_2pop|=0.0
# Part 2 divisive-structure sweep (aEI)
aEI,peak,surr,fwhm,zE,zI,regime,is_bump
0.0,0.4701349421563743,0.022080823049173855,201.09375,0.9287290980459786,0.8697117598708815,static,true
0.05,0.439805661770337,0.02313962358286453,198.28125,0.9220846871206618,0.897763651988746,static,true
0.1,0.394173627262434,0.0236755658276807,192.65625,0.9179602675013282,0.9179602675013282,static,true
0.15,0.31675677378540806,0.023764855879197022,178.59375,0.9156389689882591,0.9282115482474289,static,true
0.2,0.0697651112979078,0.056952058101475404,NaN,0.728525810025618,0.7381944082476461,collapsed,false
0.25,0.06568021287494373,0.0517791860397553,NaN,0.7528471464879106,0.7531578469579884,collapsed,false
0.3,0.05900474171410663,0.055981983661684845,NaN,0.733210893656612,0.7314453380840338,oscillon,false
0.35,0.057305674274941175,0.054867587346541534,NaN,0.7363312161515768,0.7456233694735599,oscillon,false
0.4,0.08563803844745102,0.04439928016618786,147.65625,0.7919488061752677,0.7418180526545917,oscillon,true
# Part 3 drive-response (peak rate vs eta_E)
etaE,div_peak,sub_peak
-0.6,0.03276176594591144,0.032761765945911236
-0.5,0.03763504582633969,0.4320054525432583
-0.4,0.31675677378540806,0.4701349421563743
-0.3,0.03864577491621383,0.037776883671192446
-0.2,0.02555244538885097,0.02555244538885103
-0.1,0.022733723464450673,0.02273372346445057
0.0,0.02124922822397173,0.02124922822397173
0.1,0.020312829815663194,0.020312829815663194
0.2,0.019666213034321624,0.019666213034321638
0.3,0.01919580359186499,0.019195803591864968
0.4,0.018842628823951213,0.01884262882395123
