# structured-inhibition closure: flat RMSE=0.03722993425868591  structured RMSE=0.03641804493453285  exact_shunt_off_diff=4.08006961549745e-15
g0,flat_peak,flat_surr,flat_fwhm,flat_regime,struct_peak,struct_surr,struct_fwhm,struct_regime
0.0,0.36865916854497394,0.02488557724907376,192.65625,static,0.36865916854497394,0.02488557724907376,192.65625,static
0.05,0.3650268312178674,0.026819083748365242,195.46875,static,0.36522514789842886,0.026626994198411778,195.46875,static
0.1,0.35763946198660007,0.02914551953031789,198.28125,static,0.35776517988475853,0.028718577108490875,198.28125,static
0.15,0.34590030897842794,0.03194885109540939,201.09375,static,0.3457675525905611,0.031243931297211213,201.09375,static
0.2,0.32892259366215904,0.03533255176343044,201.09375,static,0.32845304065791,0.03432199485633463,201.09375,static
0.25,0.3053072268946193,0.03944186754194628,201.09375,static,0.3045664847558317,0.03814474968670316,201.09375,static
0.3,0.2726564023503733,0.04458126708718479,201.09375,static,0.27190716157056855,0.04310544853862081,201.09375,static
0.35,0.13641551402874755,0.05165459388310024,161.71875,oscillon,0.1615003755904922,0.04986952157988216,246.09375,oscillon
0.4,0.12006705409946898,0.08296097730991946,172.96875,oscillon,0.15432659791913148,0.08916035015303464,172.96875,oscillon
0.45,0.009349477567432592,0.009349477567432592,NaN,collapsed,0.009349477567432552,0.009349477567432552,NaN,collapsed
0.5,0.007442053937991399,0.007442053937991399,NaN,collapsed,0.007442053937991352,0.007442053937991352,NaN,collapsed
0.55,0.006291321950022159,0.006291321950022159,NaN,collapsed,0.006291321950022061,0.006291321950022061,NaN,collapsed
