B,s
-0.013199368661554798,-0.05159837953373059
-0.012199724649170506,-0.047690077279937675
-0.008170863502497492,-0.03193956985873733
-0.004645396244149643,-0.018158286174217053
-0.0010062625811406815,-0.003933320485319741
0.0026745038722172923,0.010454239821497449
0.0064911152858369865,0.025373215449245225
0.013133515204600965,0.051340822790791496
0.013922673875132506,0.0544266327937304
0.014588815276884642,0.057031383073390944
0.015171418253199776,0.05930865868928825
0.01569478883916115,0.061354794789564876
0.016173565203484633,0.06322898274817114
0.01662027496061843,0.06497250966398727
0.01703768448134616,0.06660811457198357
0.01743419833513002,0.0681577769279171
0.01781321056001515,0.06963498941303134
0.018171430107108453,0.07104564108733699
0.01852020083512748,0.07240534893185796
0.018858608065161302,0.07371847858866555
0.019720575669482435,0.07710298825995683
0.020449794333487176,0.07994905450592496
0.021100774014946578,0.08250730592014513
0.02171950298628786,0.08488683705777814
0.022266193331426494,0.08709425238194976
0.022819308007150232,0.08922102064136901
0.023357494178541337,0.09126172548404145
0.023828312470110687,0.09318897953940913
0.02429017478506645,0.09505964767051778
0.024790617187271602,0.09691409732625625
0.025277948891620942,0.09871710102734
0.025697989860982904,0.10043478477635819
0.026080619872113374,0.10209494605809559
0.026491862262982075,0.10374948273423054
0.02695615692792967,0.10541563904490722
0.02742717418661941,0.10706076425735857
0.027841376566229297,0.10864299351610578
0.02818607686025602,0.11015626556126924
0.028500926659707024,0.11163178081813062
0.02884178782943638,0.11311143222490389
0.02924626433412074,0.11462109974665192
0.02970731868259121,0.11615355455522508
0.03017306970270117,0.11767296811692883
0.03058491156273487,0.11914109995965298
0.030918137193726398,0.1205423847183763
0.031188277270141666,0.12188898690155468
0.0314340239152609,0.12321002156376865
0.03170032378599093,0.12453886169374742
0.03202607427134239,0.12590281552135563
0.0324310251265345,0.12731322223470817
0.03290270947030778,0.12875837932481599
0.03339611017949703,0.13020686536231024
0.03385446347715009,0.131621892425964
0.034237199657166636,0.13297730851037545
0.03453356827982673,0.13426605444702108
0.03475789255372793,0.135498423033978
0.034938178247513774,0.13669517500662906
0.03510764876720904,0.13788143879435177
0.03530045224733387,0.13908289709182084
0.03554886740961479,0.14032280428884353
0.03587888534996126,0.14161793695818753
0.036302326479697986,0.14297297121672015
0.03680784037278109,0.1443760513659874
0.03735859839622412,0.14580031247299746
0.037902516752232863,0.1472118942154367
0.038390323152795586,0.1485797794104425
0.03879058030469342,0.14988350190195668
0.03909433874132862,0.1511164478822545
0.03931041712608933,0.15228413327017645
0.039457638151296597,0.1533998515909737
0.03955890262117798,0.1544807147928644
0.03963819692503871,0.155545297540835
0.039719677015752235,0.15661262236470458
0.039827731877322935,0.15770179329480938
0.03998712257579893,0.158831581189346
0.040222287608147236,0.1600192470461674
0.04055468890638466,0.16127789984398846
0.04099727190631652,0.16261227201672704
0.041547001476248666,0.16401459967591142
0.0421798990307939,0.16546403609302168
0.04285359380881688,0.166931071457252
0.04351714547564573,0.16838395187430485
0.044123166843018806,0.16979394789528038
0.044637569547058546,0.17113938634944426
0.04504397697809074,0.17240842070177423
0.045342109204814955,0.1735993013465098
0.04554253570253993,0.17471810926828554
0.045661237883186566,0.17577558550785152
0.045715877052964135,0.17678455068109677
0.045723904644508546,0.17775838209612774
0.04570193833128335,0.1787103636233168
0.04566583993097093,0.17965358076346766
0.045631139725045795,0.1806011062393051
0.04561362194361546,0.18156631387393954
0.045629970943516174,0.18256320450869487
0.04569837702811268,0.18360661034604087
0.04583889996549883,0.18471205063786944
0.046073150642265505,0.18589483934615872
0.04642249220713248,0.18716788683446983
0.04690380226395834,0.18853787747524406
0.047522808921443935,0.1900008152293527
0.04826776293072544,0.19153997349815727
0.04910815665785245,0.1931289210524088
0.05,0.194737720358619
0.05089389504363095,0.19633751188844872
0.05174212223794596,0.19790188403880912
0.052504481049692235,0.19940764319979784
0.0531528777193667,0.20083646192324875
0.05367369335802523,0.20217721553345178
0.0540666167186649,0.2034269060173733
0.05434075417126354,0.20458941351193424
0.05451019975073779,0.20567306288297432
0.05459065343504028,0.20668830341207692
0.05459745326336552,0.207646117606012
0.05454469934404669,0.2085571642106614
0.05444503073929065,0.2094314347919592
0.05430973186673984,0.21027820897131977
0.05414898168993627,0.21110616399904336
0.05397215421444134,0.21192355803621948
0.05378813381209816,0.21273844850040777
0.05360563811463918,0.2135589311231563
0.05343355650628059,0.21439339832986448
0.053281320607503,0.21525082142174667
0.05315932756188849,0.21614106105142022
0.05307943659050006,0.21707520227605645
0.05305554767605956,0.21806588605827587
0.05310423073111294,0.2191275508271895
0.053245265037756936,0.2202763739419801
0.0535017031406446,0.22152947736522452
0.0538986324470238,0.2229026706948544
0.05445936108629731,0.22440600730724605
0.05519827548636239,0.2260377001181205
0.05611261047945918,0.22778003475596753
0.05717918188995097,0.22960239960673487
0.058359811350769016,0.23147091319636012
0.05961077503430492,0.23335693592942683
0.06088914178752557,0.23523911060766406
0.06215435351662509,0.23710052937650727
0.06336769599908647,0.23892486573481433
0.06449258345801025,0.24069406408130514
0.06549706501826273,0.2423887841901645
0.06635785010798516,0.24399140313222903
0.06706342015608202,0.24548974344009045
0.06761410558054064,0.24687916288073797
0.0680192532341012,0.24816208146247787
0.06829332473128107,0.24934586004545903
0.06845259188387894,0.25044043973005886
0.06851303457029749,0.2514565535437451
0.06848929287173103,0.2524046566977304
0.06839430239624597,0.2532944109281726
0.06823929574718754,0.25413451196380726
0.06803396829410067,0.25493270066529494
0.06778669874093689,0.25569585952364116
0.06750477209565435,0.25643014076938564
0.06719458364521724,0.25714109954092906
0.06686181794360516,0.25783382067406235
0.06651160386810381,0.2585130355778878
0.06614864969417653,0.2591832296113226
0.0657773631321696,0.25984874228847316
0.06540196151176307,0.2605138635959484
0.0650265773773247,0.26118293028714795
0.06465536497910077,0.26186042655769876
0.06429261370757842,0.2625510942017814
0.0639428755900142,0.2632600583419277
0.06361111574415818,0.2639929762226641
0.06330289741629962,0.26475621842309166
0.06302461722495374,0.26555709411249867
0.06278381177226366,0.2664041342045831
0.0625895638067501,0.2673074470211682
0.06245304320704905,0.2682791563425678
0.06238821956404474,0.26933391119787387
0.06241276158049355,0.27048939550682666
0.0625490462538634,0.2717666083598867
0.06282492549617974,0.27318933008297935
0.06327324305363576,0.2747815385104305
0.06392800510598477,0.2765609024117457
0.064814767132342,0.2785276951661603
0.06593694638725801,0.2806547250672428
0.06726883568053404,0.2828907946700565
0.06876508703421134,0.28518036878581693
0.07037838929672857,0.2874821938215993
0.07207042532523965,0.2897738717444294
0.07381344248266035,0.29204699381684773
0.07558743684286404,0.2943008722047397
0.07737667193887515,0.29653796193940507
0.07916670864777445,0.2987609260490918
0.0809419972117412,0.30097060115948343
0.0826839041048424,0.3031642978996158
0.0843692715753319,0.30533424239945267
0.08597001122292484,0.30746643973497867
0.08745456902553174,0.309540757295318
0.08879183305185692,0.3115331787085454
0.08995671185264294,0.3134203033572715
0.09093493005015703,0.3151844242018604
0.09172456376946637,0.31681666283799503
0.09233399853179614,0.31831696897992184
0.09277808337517884,0.319691876447668
0.09307445452700625,0.32095168174405875
0.09324097689548771,0.3221081460632998
0.09329433596098431,0.32317302367260486
0.09324944588869474,0.32415728391111726
0.09311932983763123,0.32507078905618214
0.0929152322234679,0.3259222302889373
0.09264682300148057,0.3267191922198671
0.09232242181634116,0.32746827123995725
0.09194920902370322,0.3281752082984645
0.09153341114231174,0.3288450171495259
0.09108045825004779,0.32948210013677914
0.09059511519851463,0.33009034919539393
0.09008159009861265,0.3306732324108993
0.08954362380568259,0.3312338675961275
0.08898456385833507,0.33177508469927536
0.08840742585852512,0.3322994788503613
0.08781494479239452,0.33280945569455195
0.08720961834661584,0.33330727045830877
0.08659374389783224,0.3337950619951542
0.08596945054748337,0.3342748828821522
0.08533872733037934,0.3347487264972898
0.08470344853896837,0.3352185518994127
0.08406539696596962,0.33568630725748394
0.08342628577077443,0.3361539525324669
0.08278777961415593,0.3366234821035589
0.08215151568145476,0.33709694805025914
0.08151912522410873,0.3375764848579197
0.08089225629856413,0.3380643364110472
0.08027259847568866,0.33856288628573233
0.07966191044255758,0.339074692565139
0.07906205164221533,0.3396025286981279
0.0784750194173661,0.34014943233390865
0.07790299358360839,0.3407187646350472
0.0773483910130383,0.3413142833602318
0.07681393374791999,0.34194023410457214
0.07630273552122482,0.34260146561134586
0.07581841353620125,0.34330357719845145
0.07536523525775954,0.34405310930201927
0.07494831425215448,0.34485779219934554
0.07457387543758316,0.3457268733707832
