# Nakao adjoint drift law — operating point Δ=0.1 κ=2.0 g0=0.1
goldstone_residual,sigma_min,rightnull_align,linresp_slope,linresp_r,scale_pred,finiteN_r
2.266118209041141e-9,6.064332419254329e-11,1.0,0.9974514325849755,0.998696455234331,0.18740741551835513,-0.6872215538972701
x,bump_rate,S_eta
0.0,0.02914551953031789,-3.0637358496491055e-11
0.02454369260617026,0.02915663321995784,0.0003319177828842398
0.04908738521234052,0.0291900411841446,0.0006628863194757774
0.07363107781851078,0.02924594519596402,0.0009919404309832501
0.09817477042468103,0.0293246852013014,0.0013180831445451856
0.1227184630308513,0.02942674492245387,0.0016402682627775643
0.14726215563702155,0.029552759943963707,0.0019573825877606576
0.1718058482431918,0.029703528535294916,0.0022682257529793807
0.19634954084936207,0.02988002555854598,0.0025714880358357964
0.22089323345553233,0.030083419920448363,0.002865725243651359
0.2454369260617026,0.030315096162618724,0.003149330176155922
0.2699806186678728,0.030576680950219128,0.0034204985357526047
0.2945243112740431,0.030870075426844244,0.0036771898704506174
0.3190680038802134,0.031197494665577256,0.003917080588090599
0.3436116964863836,0.03156151577957242,0.0041375077793299265
0.36815538909255385,0.031965136682137574,0.004335401482828673
0.39269908169872414,0.032411848034393516,0.004507202074711336
0.4172427743048944,0.03290572162438835,0.004648758912176858
0.44178646691106466,0.03345151933034579,0.004755206174801167
0.4663301595172349,0.03405482798715353,0.004820808153136546
0.4908738521234052,0.034722226960384676,0.004838767032404974
0.5154175447295755,0.035461497094100465,0.004800985027691671
0.5399612373357456,0.03628188196727674,0.004697766686868737
0.5645049299419159,0.037194415013543515,0.004517452457116695
0.5890486225480862,0.038212328766057645,0.00424597129129432
0.6135923151542565,0.03935156455568336,0.0038663107801919887
0.6381360077604268,0.04063140071230021,0.003357919080960038
0.662679700366597,0.042075211029908306,0.0026961026570201403
0.6872233929727672,0.04371134553286674,0.0018515761777143838
0.7117670855789375,0.04557407829289037,0.0007905082687049078
0.7363107781851077,0.04770446751918371,-0.0005242530922824427
0.760854470791278,0.050150784502707754,-0.0021295546607620567
0.7853981633974483,0.052967853357047776,-0.0040540364228700936
0.8099418560036186,0.056214222032948374,-0.006303850677220816
0.8344855486097889,0.059945777490930184,-0.00884160240458023
0.859029241215959,0.06420485479411754,-0.01156406936172449
0.8835729338221293,0.0690060129679055,-0.01429429445980034
0.9081166264282996,0.07432349461131489,-0.016808097848641554
0.9326603190344698,0.08008804655212198,-0.018897255270078923
0.9572040116406401,0.08619757533925115,-0.020436348169971846
0.9817477042468103,0.09253749841395215,-0.021409230024785626
1.0062913968529805,0.09900078303840251,-0.02188531757113027
1.030835089459151,0.10550012444417303,-0.021973653912412478
1.055378782065321,0.11197127813940025,-0.021784894287400783
1.0799224746714913,0.11837069677330284,-0.02141177724539913
1.1044661672776617,0.1246709764753928,-0.020924116015108164
1.1290098598838318,0.13085627570214167,-0.02037111428378423
1.1535535524900022,0.13691858094206913,-0.01978597530187018
1.1780972450961724,0.14285496240432977,-0.01919039239684097
1.2026409377023426,0.1486656712853093,-0.018598130544682373
1.227184630308513,0.15435286622761824,-0.01801763423697621
1.2517283229146832,0.15991978061563097,-0.017453836126930022
1.2762720155208536,0.16537018791285232,-0.016909381124981526
1.3008157081270237,0.17070806441806408,-0.01638544200017664
1.325359400733194,0.17593738118145133,-0.015882258487128237
1.3499030933393643,0.18106197971267574,-0.015399491976894466
1.3744467859455345,0.1860855016523423,-0.014936458010031236
1.3989904785517047,0.19101135290431584,-0.014492277844420084
1.423534171157875,0.19584268951471603,-0.014065976548498203
1.4480778637640452,0.20058241702500954,-0.013656545837278421
1.4726215563702154,0.20523319792889655,-0.013262983584260616
1.4971652489763858,0.20979746375989738,-0.012884318009530897
1.521708941582556,0.21427742957812482,-0.012519621609749487
1.5462526341887264,0.21867510943805551,-0.012168018649003335
1.5707963267948966,0.22299233195196652,-0.011828687860656564
1.5953400194010667,0.22723075541237753,-0.01150086326646125
1.6198837120072371,0.2313918821642213,-0.011183832312058953
1.6444274046134073,0.23547707206470994,-0.010876933681940088
1.6689710972195777,0.2394875549632119,-0.010579554376766257
1.6935147898257479,0.24342444219276355,-0.010291126425871952
1.718058482431918,0.24728873710104105,-0.010011123418972194
1.7426021750380885,0.25108134466962023,-0.009739057679472128
1.7671458676442586,0.25480308028145243,-0.009474476830479263
1.7916895602504288,0.2584546777011529,-0.009216960992488183
1.8162332528565992,0.26203679633335275,-0.008966120174195702
1.8407769454627694,0.2655500278225098,-0.008721591560981824
1.8653206380689396,0.26899490205428533,-0.008483037379283754
1.88986433067511,0.2723718926145178,-0.008250142686763821
1.9144080232812801,0.275681421757447,-0.008022613434693057
1.9389517158874505,0.2789238649303863,-0.0078001748111098616
1.9634954084936207,0.28209955489773675,-0.007582569500497918
1.9880391010997909,0.2852087855031568,-0.007369556255468162
2.012582793705961,0.2882518151048875,-0.007160908648006036
2.0371264863121317,0.29122886971574063,-0.006956413870686612
2.061670178918302,0.2941401458760751,-0.006755871500160306
2.086213871524472,0.2969858132851837,-0.006559092606425727
2.110757564130642,0.29976601721392326,-0.006365898822504422
2.1353012567368124,0.3024808807190597,-0.006176121592046386
2.1598449493429825,0.3051305066777147,-0.005989601255996124
2.184388641949153,0.30771497965840855,-0.005806186511984819
2.2089323345553233,0.31023436764352597,-0.0056257336365273716
2.2334760271614935,0.31268872361652783,-0.00544810609768795
2.2580197197676637,0.3150780870258573,-0.005273173958014319
2.282563412373834,0.3174024851363087,-0.005100813216914182
2.3071071049800045,0.3196619342776147,-0.004930905695740887
2.3316507975861747,0.3218564409989371,-0.004763338299872461
2.356194490192345,0.3239860031370878,-0.004598002884303801
2.380738182798515,0.32605061080590614,-0.004434795824473352
2.405281875404685,0.328050247312873,-0.004273617652168202
2.429825568010856,0.3299848900084616,-0.004114372836941955
2.454369260617026,0.331854511074908,-0.003956969442978357
2.478912953223196,0.3336590782574799,-0.003801318962274703
2.5034566458293663,0.33539855554284603,-0.003647336017157543
2.5280003384355365,0.33707290379041344,-0.0034949381989727475
2.552544031041707,0.33868208131708455,-0.003344045723331848
2.5770877236478773,0.34022604444058513,-0.0031945814729689276
2.6016314162540475,0.34170474798572953,-0.00304647062509635
2.6261751088602177,0.343118145750408,-0.002899640574266293
2.650718801466388,0.34446619094414416,-0.002754020735238318
2.675262494072558,0.34574883658685074,-0.002609542477871756
2.6998061866787286,0.34696603588794456,-0.0024661388901927035
2.724349879284899,0.34811774258702954,-0.0023237447390044947
2.748893571891069,0.3492039112784164,-0.002182296229472159
2.773437264497239,0.35022449770466685,-0.002041731069749134
2.7979809571034093,0.3511794590274459,-0.0019019881660938993
2.82252464970958,0.35206875408223987,-0.0017630077000149588
2.84706834231575,0.3528923436037068,-0.0016247308644544605
2.8716120349219203,0.35365019043655216,-0.0014870998655082273
2.8961557275280905,0.3543422597287681,-0.001350057852452115
2.9206994201342606,0.3549685191022796,-0.0012135488044860787
2.945243112740431,0.35552893880805503,-0.0010775173318789604
2.9697868053466014,0.3560234918663143,-0.0009419087668141547
2.9943304979527716,0.35645215418941434,-0.0008066690463846601
3.018874190558942,0.3568149046884535,-0.0006717445573095982
3.043417883165112,0.3571117253651618,-0.0005370820762393391
3.067961575771282,0.35734260138933144,-0.00040262885645675733
3.0925052683774528,0.3575075211617279,-0.00026833231127249723
3.117048960983623,0.35760647636267734,-0.00013414008822379558
3.141592653589793,0.35763946198660007,5.723270268341911e-12
3.1661363461959633,0.35760647636267734,0.00013414008591507205
3.1906800388021335,0.3575075211617284,0.0002683323161559096
3.215223731408304,0.35734260138933244,0.0004026288535297235
3.2397674240144743,0.3571117253651627,0.0005370820769910167
3.2643111166206444,0.35681490468845495,0.0006717445327610841
3.2888548092268146,0.3564521541894155,0.0008066690386528535
3.313398501832985,0.3560234918663156,0.0009419087631426752
3.3379421944391554,0.35552893880805664,0.0010775173121639462
3.3624858870453256,0.3549685191022816,0.0012135487897443767
3.3870295796514958,0.35434225972876965,0.001350057876205455
3.411573272257666,0.3536501904365545,0.0014870998837542627
3.436116964863836,0.35289234360370897,0.001624730858589971
3.4606606574700063,0.3520687540822426,0.0017630076966276334
3.485204350076177,0.35117945902744874,0.0019019881785909982
3.509748042682347,0.35022449770467023,0.002041731068915469
3.5342917352885173,0.3492039112784195,0.0021822962278991204
3.5588354278946874,0.3481177425870332,0.0023237447138328574
3.5833791205008576,0.34696603588794805,0.0024661388964761053
3.6079228131070282,0.3457488365868545,0.0026095424807898427
3.6324665057131984,0.3444661909441483,0.002754020739415893
3.6570101983193686,0.3431181457504121,0.00289964056352407
3.6815538909255388,0.34170474798573414,0.0030464706314157603
3.706097583531709,0.34022604444058985,0.003194581476534133
3.730641276137879,0.3386820813170895,0.0033440457086076907
3.7551849687440497,0.33707290379041865,0.0034949381885374057
3.77972866135022,0.33539855554285125,0.0036473360131149303
3.80427235395639,0.3336590782574854,0.0038013189481380387
3.8288160465625602,0.33185451107491376,0.003956969429502288
3.8533597391687304,0.32998489000846765,0.004114372835936686
3.877903431774901,0.3280502473128792,0.004273617633447331
3.902447124381071,0.32605061080591236,0.004434795830408992
3.9269908169872414,0.3239860031370946,0.004598002886605953
3.9515345095934116,0.32185644099894417,0.004763338313941952
3.9760782021995817,0.319661934277622,0.004930905674127319
4.000621894805752,0.31740248513631564,0.0051008132295231635
4.025165587411922,0.31507808702586454,0.005273173946452032
4.049709280018092,0.3126887236165353,0.005448106114066644
4.074252972624263,0.310234367643534,0.005625733620484224
4.0987966652304335,0.3077149796584165,0.005806186473418788
4.123340357836604,0.3051305066777233,0.005989601249393957
4.147884050442774,0.30248088071906837,0.006176121611706316
4.172427743048944,0.2997660172139321,0.006365898833354228
4.196971435655114,0.29698581328519275,0.006559092584878064
4.221515128261284,0.2941401458760839,0.006755871490315999
4.246058820867455,0.2912288697157502,0.006956413874832017
4.270602513473625,0.288251815104897,0.0071609086724181556
4.295146206079795,0.2852087855031666,0.007369556223252084
4.319689898685965,0.2820995548977464,0.007582569469539207
4.344233591292136,0.2789238649303964,0.007800174811315518
4.368777283898306,0.27568142175745763,0.00802261344762615
4.3933209765044765,0.27237189261452827,0.008250142659894294
4.417864669110647,0.2689949020542961,0.008483037367169665
4.442408361716817,0.2655500278225211,0.00872159156161594
4.466952054322987,0.26203679633336413,0.0089661201666868
4.491495746929157,0.2584546777011645,0.009216960985744793
4.516039439535327,0.2548030802814639,0.009474476842836694
4.540583132141498,0.2510813446696321,0.009739057654428018
4.565126824747668,0.24728873710105292,0.010011123429160627
4.589670517353839,0.24342444219277612,0.010291126414914212
4.614214209960009,0.23948755496322446,0.010579554388264804
4.638757902566179,0.23547707206472263,0.01087693368520272
4.663301595172349,0.23139188216423434,0.011183832298198366
4.6878452877785195,0.22723075541239054,0.011500863241819781
4.71238898038469,0.2229923319519801,0.01182868788105719
4.73693267299086,0.21867510943806961,0.012168018626184027
4.76147636559703,0.21427742957813853,0.0125196216223942
4.7860200582032,0.2097974637599116,0.01288431799896842
4.81056375080937,0.20523319792891132,0.01326298356403837
4.8351074434155406,0.20058241702502438,0.013656545840473466
4.859651136021712,0.1958426895147312,0.014065976562769946
4.884194828627882,0.1910113529043314,0.014492277872493404
4.908738521234052,0.18608550165235815,0.014936458059104272
4.933282213840222,0.18106197971269183,0.015399491940892985
4.957825906446392,0.1759373811814674,0.015882258477234235
4.9823695990525625,0.17070806441808084,0.016385441997241523
5.006913291658733,0.1653701879128694,0.016909381161718032
5.031456984264903,0.15991978061564846,0.017453836182880073
5.056000676871073,0.15435286622763608,0.018017634321407176
5.080544369477243,0.14866567128532748,0.01859813065015776
5.105088062083414,0.14285496240434833,0.019190392311905505
5.129631754689584,0.13691858094208822,0.01978597529253464
5.154175447295755,0.1308562757021613,0.0203711142256835
5.178719139901925,0.1246709764754125,0.020924115986656354
5.203262832508095,0.11837069677332293,0.021411777339518885
5.227806525114265,0.1119712781394208,0.02178489429439083
5.252350217720435,0.10550012444419361,0.021973653939658985
5.2768939103266055,0.09900078303842301,0.021885317650763653
5.301437602932776,0.09253749841397235,0.0214092300751531
5.325981295538946,0.08619757533927089,0.020436348262943754
5.350524988145116,0.08008804655214088,0.01889725525907762
5.375068680751287,0.07432349461133242,0.016808097628573743
5.399612373357457,0.0690060129679216,0.014294294433110796
5.424156065963627,0.06420485479413186,0.01156406928934009
5.448699758569798,0.059945777490942605,0.00884160241245221
5.473243451175968,0.056214222032959255,0.006303850671549011
5.497787143782138,0.052967853357057136,0.004054036351564649
5.522330836388308,0.05015078450271594,0.0021295546787608553
5.546874528994478,0.047704467519190795,0.0005242531305274436
5.5714182216006485,0.045574078292896704,-0.0007905081967421127
5.595961914206819,0.04371134553287211,-0.001851576115183294
5.620505606812989,0.04207521102991313,-0.0026961026719892877
5.64504929941916,0.040631400712304325,-0.0033579190530889577
5.66959299202533,0.039351564555687,-0.0038663106418645055
5.6941366846315,0.03821232876606092,-0.004245971337543818
5.71868037723767,0.03719441501354639,-0.004517452472315509
5.743224069843841,0.0362818819672794,-0.004697766686992108
5.767767762450011,0.035461497094102984,-0.0048009850626350315
5.792311455056181,0.03472222696038685,-0.004838767004402192
5.816855147662351,0.03405482798715553,-0.0048208080682845544
5.841398840268521,0.033451519330347526,-0.004755206206097312
5.8659425328746915,0.03290572162438983,-0.004648758896341986
5.890486225480862,0.032411848034394945,-0.00450720201940032
5.915029918087033,0.03196513668213886,-0.004335401458092743
5.939573610693203,0.03156151577957355,-0.0041375077734170755
5.964117303299373,0.031197494665578356,-0.003917080623883399
5.988660995905543,0.030870075426845233,-0.003677189881832644
6.013204688511713,0.030576680950219974,-0.003420498554585366
6.037748381117884,0.030315096162619414,-0.0031493302432842457
6.062292073724054,0.030083419920449023,-0.002865725293602725
6.086835766330224,0.029880025558546595,-0.002571487989153057
6.111379458936394,0.029703528535295405,-0.0022682257607288996
6.135923151542564,0.02955275994396413,-0.0019573826547403966
6.160466844148735,0.0294267449224542,-0.0016402682282438906
6.1850105367549055,0.029324685201301673,-0.0013180831197999647
6.209554229361076,0.029245945195964285,-0.000991940452450396
6.234097921967246,0.029190041184144686,-0.000662886279357302
6.258641614573416,0.029156633219957893,-0.0003319177651647013
