quantity,macro,micro,absdiff
peak rate,0.3704900512727234,0.37122064762120277,0.0007305963484793843
surround rate,0.0021529583927969885,9.84560621071086e-5,0.0020545023306898797
FWHM (rad),3.2643111166206444,3.2643111166206444,0.0
|z| surround max,0.9912909022726764,0.9940802882270392,0.002789385954362844
|z| centre min,0.003053131308933429,0.0018589691857512766,0.0011941621231821523
rate_profile_rmse,0.005490795515633503,,
rate_profile_rel,0.01482035886462075,,
z_profile_rmse,0.033125545039293554,,
