t,Omega,commanded,field,spiking
0.02,0.002494985455047169,0.0,0.0,0.0
0.04,0.0007712909900819474,3.266276445129117e-5,1.4078708789888594e-6,0.0002531223862218823
0.06,-0.002196925869770601,1.8406415654404633e-5,3.1583513799837704e-6,-0.00029285181233262847
0.08,-0.003228119744671562,-3.584404049001702e-5,3.6903138038724137e-6,-0.0009150463224569805
0.1,-0.004009556825026711,-0.00010822080618699977,2.1795412576963713e-6,-0.000425512154461849
0.12,0.0002229483892966129,-0.00014608689054430073,-1.3412990593764107e-6,0.0009531456979332553
0.14,0.00148038457809071,-0.00012905356087042748,-4.995580630051677e-6,0.0024268380944034718
0.16,-0.0024657654823365465,-0.00013890736991288585,-8.217260369036694e-6,0.002965764037277996
0.18,-0.00024661685065327727,-0.00016603119324278408,-1.2319850886122197e-5,0.005102434174329318
0.2,-0.0013048613208868727,-0.00018154597495818558,-1.687925825155645e-5,0.0058326250176312655
0.22,-0.0007912455555614322,-0.00020250704372266862,-2.2049084868136504e-5,0.006216230456505656
0.24,-0.00020943387918885255,-0.00021251383807017148,-2.765237917401464e-5,0.0065940700034050614
0.26,-0.0009635479250849731,-0.00022424365611290974,-3.346068931620039e-5,0.006583868745599464
0.28,-0.00260837656431172,-0.0002599629010068767,-3.9904607170626605e-5,0.007712063559246918
0.3,-0.0014705941713901898,-0.00030075260836389577,-4.7633739953312215e-5,0.00815318325313985
0.32,-0.00310601496500733,-0.000346518699727871,-5.649589628831109e-5,0.00875256162561433
0.34,-0.0066182491291616585,-0.00044376134066956096,-6.742585009700264e-5,0.009192927844865473
0.36,-0.00819744648566118,-0.0005919182968177891,-8.223443219268489e-5,0.010765092650563357
0.38,-0.01058516960701183,-0.0007797444577445193,-0.00010217366109355197,0.010624378442461335
0.4,-0.010133206076195536,-0.0009869282145765932,-0.00012831594889295417,0.01141685857853414
0.42,-0.006031960624612416,-0.0011485798815846725,-0.00016020705223773746,0.01335947311529928
0.44,-0.005786767632027862,-0.0012667671641510754,-0.0001959522481893572,0.01461290973471252
0.46,-0.006471632837508396,-0.001389351168846438,-0.0002350300393825222,0.015308713113766803
0.48,-0.008472071026393376,-0.0015387882074854554,-0.00027786913494143306,0.016066477210093133
0.5,-0.007969711391343923,-0.0017032060316628285,-0.0003252837642770956,0.01726015827793237
0.52,-0.0075754927003192606,-0.0018586580725794605,-0.0003771630468527576,0.017883030860368798
0.54,-0.006428031489377069,-0.001998693314476424,-0.0004330956299787303,0.018780483070350407
0.56,-0.010332607176504898,-0.0021662997011352436,-0.0004929031771014891,0.02008176120878602
0.58,-0.009045289083744306,-0.0023600786637377347,-0.000557924616093608,0.019817635747693796
0.6,-0.005170920804466529,-0.0025022407626198433,-0.0006275317215944654,0.021286908566118257
0.62,-0.004249988235598034,-0.002596449853020489,-0.0006997641392283427,0.02107037645696641
0.64,-0.003009031534974267,-0.002669040050726212,-0.0007736307302863565,0.02154430469209112
0.66,-0.0049721844000703685,-0.0027488522100766583,-0.0008486697160687839,0.021809817298485967
0.68,-0.005044035856168469,-0.0028490144126390466,-0.0009255520609574575,0.02321404594171428
0.7000000000000001,-0.004107949964508724,-0.0029405342708458187,-0.0010043676940378887,0.02266230957704929
0.72,-0.001821333839540693,-0.0029998271088863128,-0.0010844306056636555,0.02214654471932853
0.74,0.0009408106805322051,-0.0030086323404763977,-0.0011643289710834281,0.02324971155763622
0.76,6.893179460836364e-5,-0.002998534915724992,-0.0012427084733106497,0.02340010004758497
0.78,0.0032516656928087244,-0.002965328940850821,-0.0013192939979225216,0.025208053961812027
0.8,0.0054521347897516104,-0.0028782909360252178,-0.0013925781607264653,0.02480868507852696
0.8200000000000001,0.003133418257279494,-0.0027924354055549067,-0.0014615413700136415,0.02607804608835318
0.84,0.0011219528508291704,-0.0027498816944738205,-0.0015271721530352167,0.025471577813836355
0.86,-0.0008088824435604097,-0.0027467509904011327,-0.001590789407280191,0.025737388231079183
0.88,-0.00019437214546771107,-0.002756783536291414,-0.0016533594879035718,0.026284840666748188
0.9,-6.50664990587988e-5,-0.002759377922736679,-0.0017147980174172517,0.026992251382981003
0.92,0.0004034356050352254,-0.002755994231676915,-0.0017749222465450742,0.02565330495439122
0.9400000000000001,0.00693631803519871,-0.0026825966952745755,-0.0018328118178576602,0.024878356051623918
0.96,0.006161631337434015,-0.002551617201548249,-0.001885719510019257,0.026907100231738923
0.98,0.004665484580581999,-0.0024433460423680885,-0.0019334748730299722,0.027528287354652736
1.0,0.005060022209626894,-0.0023460909744659995,-0.0019767922844327046,0.028302088098785205
1.02,0.0046035493128362024,-0.0022494552592413684,-0.00201574240410185,0.02859432393043715
1.04,0.00563410569097657,-0.0021470787092032406,-0.002050399802752345,0.02812213078535164
1.06,0.006483947101025498,-0.0020258981812832197,-0.002080316539163185,0.02876079345312066
1.08,0.0020961355242614943,-0.0019400973550303497,-0.0021055297847061283,0.028899661716318636
1.1,0.0033956399029385818,-0.001885179600758349,-0.002127720422824275,0.029657178585590138
1.12,0.004559192967135063,-0.0018056312720576124,-0.002146701320406841,0.02931993424201007
1.1400000000000001,0.001815402534928557,-0.0017418853170369762,-0.0021621603100649978,0.028740585339460445
1.16,0.004123459559420715,-0.001682496696093484,-0.002174929219648014,0.028388692604925048
1.18,0.00722677258143702,-0.0015689943746849066,-0.0021840111857249767,0.02881081671819885
1.2,0.0037522006810654057,-0.0014592046420598822,-0.0021882495231828614,0.029282351064679357
1.22,0.006767355047037777,-0.0013540090847788504,-0.002188526047135042,0.029447152931123988
1.24,0.010076019799373328,-0.0011855753363147392,-0.002183618622720651,0.030133145996052324
1.26,0.010227143077152088,-0.000982543707549485,-0.002171844233733289,0.030639943608040454
1.28,0.006769787992897307,-0.0008125743968489908,-0.0021532397875789755,0.030272181208977234
1.3,0.008671169127043927,-0.0006581648256495784,-0.0021291442519766335,0.031156316532293005
1.32,0.00797511941635132,-0.0004917019402156257,-0.002099263091444037,0.031019747124620967
1.34,0.00570081301415914,-0.00035494261591052095,-0.002064013249378327,0.029456154979915272
1.36,0.008856017730523698,-0.00020937430846369246,-0.002024177753779277,0.031011681291055027
1.3800000000000001,0.00575448983106203,-6.326923284783506e-5,-0.00197905701563883,0.031955424873835625
1.4000000000000001,0.002396448256778958,1.82401480305749e-5,-0.0019300766756691345,0.03400370305860401
1.42,0.002803647980896182,7.024111040732577e-5,-0.0018790201662506334,0.03458448894283128
1.44,0.007619461966947589,0.00017447220988576356,-0.0018256063165411618,0.03357408282451413
1.46,0.005669094394224543,0.000307357773497485,-0.0017680042463208423,0.03330072452966215
1.48,0.0006725146348306923,0.00037077386378803743,-0.0017071434744870828,0.03297960859333582
1.5,5.56921893579077e-5,0.0003780559320299234,-0.0016454927671629704,0.033999138216265656
1.52,-0.0016314472106318091,0.0003622983818171844,-0.0015840675117191338,0.034191790378257814
1.54,-0.005751319728109145,0.0002884707124297748,-0.0015241230516300774,0.03427615834123143
1.56,-0.0071032836163100535,0.00015992467898558272,-0.00146775504127028,0.03540188060871774
1.58,-0.006836333604032193,2.0528506782160145e-5,-0.0014159424656075004,0.03563141328198682
1.6,-0.005246428833204912,-0.000100299117590211,-0.0013685283735149767,0.03443361920960619
1.62,-0.008071275935648626,-0.0002334761652787465,-0.0013250928218706548,0.034608131290642774
1.6400000000000001,-0.006620311843142415,-0.000380392043066657,-0.0012865025012160913,0.03462534322163213
1.6600000000000001,-0.004326460597151286,-0.0004898597674695941,-0.0012521715187014948,0.035874111885048965
1.68,-0.0036609664039639602,-0.0005697340374807457,-0.0012208804822009256,0.036057303594937196
1.7,-0.0012221227812571713,-0.0006185649293329571,-0.0011918372665711274,0.035026101283659905
1.72,0.0023824738472700115,-0.0006069614186728287,-0.0011635513234864447,0.03511563583590949
1.74,0.0023893357513074445,-0.000559243322687054,-0.0011342478830247416,0.035961803435803574
1.76,0.005740865914817369,-0.0004779413060258058,-0.0011032231755239152,0.034158884136715084
1.78,0.0073676502849578185,-0.0003468561440280538,-0.0010689237088596926,0.034583669705024356
1.8,0.0077919267072541765,-0.00019526037410593373,-0.00103032183651397,0.035162184671388985
1.82,0.007602706086791388,-4.1314046165477966e-5,-0.0009871631338258524,0.03458480118808627
1.84,0.008023296793862962,0.00011494598264106569,-0.0009395211354013,0.03437670567455742
