# Step 5.3 drift half — adjoint Cauchy drift scale vs shunting g0 (Δ=0.1 κ=2.0, B=0)
# magnitude anchor g0=0.1: linresp slope=0.9974514324332484 r=0.998696455234331 (ref drift_adjoint.csv scale≈0.187)
g0,peak_rate,zmax,RHS_resid,gres,align,sigma_min,Smax,drift_scale,trust
0.05,0.36502683121785284,0.8893769672375472,3.911394811328878e-15,3.473423329726959e-9,1.0,8.392813610268077e-11,0.02304446163647159,0.18240416204538415,true
0.1,0.357639461986528,0.8829729635385717,1.7772239894833365e-15,2.3892344481527793e-9,0.9999999999999999,2.0064744796034933e-10,0.02197365393593195,0.18740741553053594,true
0.15,0.3459003089784251,0.8757501080370682,1.289439925312343e-15,2.180158609662005e-9,1.0,9.395948744986915e-11,0.0208287429290556,0.1924542834343067,true
0.2,0.3289225936621554,0.8676998207061251,1.3438006042959209e-15,2.5025617612346403e-9,0.9999999999999999,6.270283722601509e-11,0.019660768654376062,0.19769565441378914,true
0.25,0.3053072268946203,0.8587248245644942,1.4488835837920474e-15,1.808623914450162e-9,0.9999999999999998,5.90518416700639e-11,0.0186247117616703,0.20361949745224292,true
0.3,0.27265611165346515,0.848095173209777,3.371240433079283e-12,2.7941551703760892e-9,1.0000000000000002,4.504130657472018e-11,0.017951082745326363,0.21213438398449513,true
0.32,0.256159407006643,0.8427802806851016,3.45081526400461e-5,0.0002372487015700225,0.999999969375929,3.306773142969159e-5,0.017900274731047976,0.21732132699681428,true
