x,k_field,k_spiking
0.1308996938995747,0.9991409541363272,1.0031179817290063
0.39269908169872414,0.9991409686520647,1.0264707686280257
0.6544984694978736,0.9991409642969319,0.8554184604072055
0.916297857297023,0.9991408999364416,0.9091935071014005
1.1780972450961724,0.976736495875744,1.073797783740124
1.4398966328953218,0.9889525151270827,1.0048803810212188
1.7016960206944713,0.9991408797222139,0.9953426871037477
1.9634954084936205,0.999140906614664,1.2156662229314643
2.2252947962927703,0.9991408814449428,1.0072001782282998
2.4870941840919194,0.9991408650160558,0.9590026174442565
2.748893571891069,0.9991413039951517,0.8966871255614381
3.010692959690218,0.9991442277006799,0.9338301586264474
3.272492347489368,0.9991451689470366,0.9458360042713927
3.5342917352885173,0.9991423708432864,0.8957036928782833
3.796091123087667,0.9991439315034584,1.025145075965158
4.057890510886816,0.9991420528326345,1.025857458376161
4.319689898685966,0.9991424988855294,1.0047041323936816
4.581489286485115,0.999142923360641,1.0371954470812161
4.843288674284264,0.9991405699131415,1.0425933240888552
5.105088062083413,0.9991402015786299,1.0993910403587843
5.3668874498825625,0.9991407933357814,1.0493984048687857
5.6286868376817125,0.9991410355472615,1.1180591267670095
5.8904862254808625,0.9991410378971683,1.074681914041526
6.152285613280012,0.9991409377390731,0.9671292842567795
